TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-16 01:44:40,1768527880890,www.soulprintengine.ai/questionnaire/new,GET,_rsc=1pick,200,thnxl-1768527880890-06e9c82fef0b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,www.soulprintengine.ai,soulprint-landing-odhmv269e-a55ets-projects.vercel.app,dpl_6b4Z34L89pD9oqX7D27bD328FFmw,241,iad1,106,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KF27KRA968X3ERP65M27M2G9,deH07TeTWV1b,2
2026-01-16 01:44:40,1768527880890,www.soulprintengine.ai/questionnaire/new,GET,_rsc=1pick,200,thnxl-1768527880890-06e9c82fef0b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/questionnaire/new.segments/questionnaire/new/__PAGE__.segment,www.soulprintengine.ai,soulprint-landing-odhmv269e-a55ets-projects.vercel.app,dpl_6b4Z34L89pD9oqX7D27bD328FFmw,,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-16 01:44:40,1768527880878,www.soulprintengine.ai/questionnaire/new,GET,_rsc=1k5gq,,s9xp8-1768527880878-1f0c189bf768,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,,,middleware,middleware,www.soulprintengine.ai,,dpl_6b4Z34L89pD9oqX7D27bD328FFmw,300,iad1,105,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KF27KQXXAV1AVGN2DJ9E838X,rskRigFHYyAm,3
2026-01-16 01:44:40,1768527880799,www.soulprintengine.ai/questionnaire/new,GET,_rsc=1i4he,200,hq59j-1768527880799-437c773d385d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,www.soulprintengine.ai,soulprint-landing-odhmv269e-a55ets-projects.vercel.app,dpl_6b4Z34L89pD9oqX7D27bD328FFmw,258,iad1,103,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KF27KQXXAV1AVGN2DJ9E838X,rskRigFHYyAm,3
2026-01-16 01:44:40,1768527880799,www.soulprintengine.ai/questionnaire/new,GET,_rsc=1i4he,200,hq59j-1768527880799-437c773d385d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/questionnaire/new.segments/questionnaire.segment,www.soulprintengine.ai,soulprint-landing-odhmv269e-a55ets-projects.vercel.app,dpl_6b4Z34L89pD9oqX7D27bD328FFmw,287,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-16 01:44:40,1768527880623,www.soulprintengine.ai/dashboard/welcome,POST,,,sdp6p-1768527880623-becda6582587,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,,,middleware,middleware,www.soulprintengine.ai,,dpl_6b4Z34L89pD9oqX7D27bD328FFmw,315,iad1,105,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KF27KRA968X3ERP65M27M2G9,deH07TeTWV1b,2
2026-01-16 01:44:40,1768527880623,www.soulprintengine.ai/dashboard/welcome,POST,,,sdp6p-1768527880623-becda6582587,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,,,serverless,/dashboard/welcome,www.soulprintengine.ai,,dpl_6b4Z34L89pD9oqX7D27bD328FFmw,23,iad1,263,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KF27KRTMYG89Y5S1KXPP5RFH,PG1tNUMXCqQk,1
2026-01-16 01:44:40,1768527880511,www.soulprintengine.ai/questionnaire/new,GET,_rsc=585va,200,2dkvt-1768527880511-b2f875244e31,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,www.soulprintengine.ai,soulprint-landing-odhmv269e-a55ets-projects.vercel.app,dpl_6b4Z34L89pD9oqX7D27bD328FFmw,292,iad1,147,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KF27KRA968X3ERP65M27M2G9,deH07TeTWV1b,2
2026-01-16 01:44:40,1768527880511,www.soulprintengine.ai/questionnaire/new,GET,_rsc=585va,200,2dkvt-1768527880511-b2f875244e31,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/questionnaire/new.segments/_index.segment,www.soulprintengine.ai,soulprint-landing-odhmv269e-a55ets-projects.vercel.app,dpl_6b4Z34L89pD9oqX7D27bD328FFmw,,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-16 01:44:40,1768527880507,www.soulprintengine.ai/questionnaire/new,GET,_rsc=oh8t4,,8txgq-1768527880507-b7d348424da6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,,,middleware,middleware,www.soulprintengine.ai,,dpl_6b4Z34L89pD9oqX7D27bD328FFmw,512,iad1,103,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KF27KQXXAV1AVGN2DJ9E838X,rskRigFHYyAm,3
