TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-19 03:53:46,1768794826015,www.soulprintengine.ai/,GET,_rsc=ivliq,304,9j54b-1768794826015-b11f0b10d547,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,www.soulprintengine.ai,soulprint-landing-9y2650ak0-a55ets-projects.vercel.app,dpl_HDuh6bzX7iHK6S2kRtHfSUykPoNR,10,iad1,127,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KFA6699A2CP1VQWGYW71BAMP,3Pe7DVZCwZfF,1
2026-01-19 03:53:46,1768794826015,www.soulprintengine.ai/,GET,_rsc=ivliq,304,9j54b-1768794826015-b11f0b10d547,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/index.segments/__PAGE__.segment,www.soulprintengine.ai,soulprint-landing-9y2650ak0-a55ets-projects.vercel.app,dpl_HDuh6bzX7iHK6S2kRtHfSUykPoNR,,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-19 03:53:46,1768794826014,www.soulprintengine.ai/,GET,_rsc=1pn8p,304,42tsl-1768794826014-930b8de0de44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,www.soulprintengine.ai,soulprint-landing-9y2650ak0-a55ets-projects.vercel.app,dpl_HDuh6bzX7iHK6S2kRtHfSUykPoNR,11,iad1,125,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KFA6699ERRXATVJNH78CFGSB,bQpNXc7QgEhd,1
2026-01-19 03:53:46,1768794826014,www.soulprintengine.ai/,GET,_rsc=1pn8p,304,42tsl-1768794826014-930b8de0de44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/index.segments/_head.segment,www.soulprintengine.ai,soulprint-landing-9y2650ak0-a55ets-projects.vercel.app,dpl_HDuh6bzX7iHK6S2kRtHfSUykPoNR,50,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-19 03:53:45,1768794825804,www.soulprintengine.ai/enter,GET,_rsc=33vlc,304,rnjqn-1768794825804-79d502d62da2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,www.soulprintengine.ai,soulprint-landing-9y2650ak0-a55ets-projects.vercel.app,dpl_HDuh6bzX7iHK6S2kRtHfSUykPoNR,11,iad1,127,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KFA6692PNNDSMNTP7A3SRDF2,3Pe7DVZCwZfF,1
2026-01-19 03:53:45,1768794825804,www.soulprintengine.ai/enter,GET,_rsc=33vlc,304,rnjqn-1768794825804-79d502d62da2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/enter.segments/enter/__PAGE__.segment,www.soulprintengine.ai,soulprint-landing-9y2650ak0-a55ets-projects.vercel.app,dpl_HDuh6bzX7iHK6S2kRtHfSUykPoNR,,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-19 03:53:45,1768794825722,www.soulprintengine.ai/enter,GET,_rsc=1pn8p,304,wbv6n-1768794825722-f0f1cd5247e2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,www.soulprintengine.ai,soulprint-landing-9y2650ak0-a55ets-projects.vercel.app,dpl_HDuh6bzX7iHK6S2kRtHfSUykPoNR,10,iad1,122,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KFA66905NE98ZDB29729CEXH,PMPwtfDbu1Cy,1
2026-01-19 03:53:45,1768794825722,www.soulprintengine.ai/enter,GET,_rsc=1pn8p,304,wbv6n-1768794825722-f0f1cd5247e2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/enter.segments/_head.segment,www.soulprintengine.ai,soulprint-landing-9y2650ak0-a55ets-projects.vercel.app,dpl_HDuh6bzX7iHK6S2kRtHfSUykPoNR,,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
2026-01-19 03:53:45,1768794825722,www.soulprintengine.ai/enter,GET,_rsc=1cq6r,304,rnjqn-1768794825722-4da6f3f9f75c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,www.soulprintengine.ai,soulprint-landing-9y2650ak0-a55ets-projects.vercel.app,dpl_HDuh6bzX7iHK6S2kRtHfSUykPoNR,17,iad1,125,2048,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,01KFA66906M25JCK1AKWF5PWDK,bQpNXc7QgEhd,1
2026-01-19 03:53:45,1768794825722,www.soulprintengine.ai/enter,GET,_rsc=1cq6r,304,rnjqn-1768794825722-4da6f3f9f75c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/enter.segments/enter.segment,www.soulprintengine.ai,soulprint-landing-9y2650ak0-a55ets-projects.vercel.app,dpl_HDuh6bzX7iHK6S2kRtHfSUykPoNR,,cle1,,,,prj_0yEqZoYLeoFxe4GwUIxHZhtEU6iA,,,,,
